source,Number of movies released
Original screenplay,7418
Based on real life events,3067
Based on fiction book/short story,2050
Remake,325
Based on play,259
Based on factual book/article,246
Based on comic/graphic novel,224
Based on TV,219
Based on folk tale/legend/fairytale,72
Based on game,48
Based on musical/opera,41
Based on short film,41
Compilation,41
Spin-off,38
Based on religious text,31
Based on movie,29
Based on toy,19
Based on musical group,9
Based on theme park ride,8
Based on web series,6
Based on ballet,4
Based on song,2
