Month,Price in GBP per kilogram
Nov '19,0.79
Oct '19,0.88
Sep '19,0.96
Aug '19,1.12
Jul '19,1.09
Jun '19,0.72
May '19,0.73
Apr '19,0.71
Mar '19,0.81
Feb '19,1.05
Nov '18,0.79
Oct '18,0.91
Sep '18,1.08
Aug '18,1.21
Jul '18,0.88
Jun '18,0.9
May '18,0.92
Apr '18,0.77
Mar '18,0.89
Nov '17,0.63
Oct '17,0.8
Sep '17,0.76
Aug '17,0.77
Jul '17,0.85
Jun '17,0.73
May '17,0.63
Apr '17,0.71
Mar '17,1.01
Feb '17,1.28
Nov '16,0.76
Oct '16,0.82
Sep '16,0.86
Aug '16,1.21
Jul '16,0.84
Jun '16,0.81
May '16,0.7
Apr '16,0.69
Mar '16,0.74
Feb '16,0.76
Nov '15,0.62
Oct '15,0.74
Sep '15,0.91
Aug '15,1.13
Jul '15,0.79
Jun '15,0.61
May '15,0.65
Apr '15,0.7
Mar '15,0.72
Feb '15,1.23
