Month,Index level*
Jul '20,109.8
Jun '20,109.7
May '20,109.6
Apr '20,109.4
Mar '20,109.3
Feb '20,109.1
Jan '20,109.1
Dec '19,108.9
Nov '19,108.7
Oct '19,108.6
Sep '19,108.4
Aug '19,108.3
Jul '19,108.2
Jun '19,108.1
May '19,108.0
Apr '19,107.8
Mar '19,107.7
Feb '19,107.6
Jan '19,107.4
Dec '18,107.4
Nov '18,107.2
Oct '18,107.1
Sep '18,107.0
Aug '18,106.9
Jul '18,106.8
Jun '18,106.7
May '18,106.6
Apr '18,106.5
Mar '18,106.4
Feb '18,106.4
Jan '18,106.3
Dec '17,106.2
Nov '17,106.2
Oct '17,106.1
Sep '17,106.0
Aug '17,105.9
Jul '17,105.8
Jun '17,105.6
May '17,105.5
Apr '17,105.4
Mar '17,105.3
Feb '17,105.2
Jan '17,105.1
Dec '16,104.9
Nov '16,104.7
Oct '16,104.5
Sep '16,104.3
Aug '16,104.1
Jul '16,103.8
Jun '16,103.7
May '16,103.6
Apr '16,103.4
Mar '16,103.1
Feb '16,102.9
Jan '16,102.7
