Response,Share of respondents
"Provocative or inappropriate photographs, videos or information",40%
Evidence of candidate drinking or using drugs,36%
"Discriminatory comments related to race, gender, religion",31%
Was linked to criminal behavior,30%
Lied about qualifications,27%
Had poor communication skills,27%
Bad-mouthed their previous company or fellow employee,25%
Screen name was unprofessional,22%
Shared confidential information from previous employers,20%
Lied about an absence,16%
Posted too frequently,12%
