Year,Population in thousands
2020,3280.82
2019,3301.0
2018,3323.93
2017,3351.53
2016,3386.26
2015,3429.36
2014,3482.11
2013,3542.6
2012,3604.97
2011,3661.17
2010,3705.48
2009,3735.95
2008,3754.26
2007,3762.79
2006,3765.42
2005,3765.33
2004,3764.19
2003,3762.18
2002,3759.39
2001,3755.51
2000,3751.18
1999,3743.35
1998,3734.34
1997,3736.07
1996,3764.42
1995,3829.05
1994,3936.53
1993,4078.94
1992,4233.67
1991,4369.32
1990,4463.42
1989,4507.82
1988,4509.46
1987,4479.52
1986,4435.93
1985,4392.14
1984,4350.57
1983,4307.91
1982,4265.18
1981,4222.48
1980,4179.85
1979,4138.82
1978,4100.36
1977,4063.19
1976,4025.27
1975,3985.11
1974,3942.22
1973,3897.26
1972,3851.15
1971,3805.29
1970,3760.54
1969,3717.48
1968,3675.45
1967,3632.68
1966,3586.63
1965,3535.63
1964,3479.0
1963,3417.57
1962,3353.23
1961,3288.6
1960,3225.66
1959,3165.19
1958,3106.9
1957,3049.93
1956,2993.28
1955,2936.3
1954,2878.84
1953,2821.31
1952,2764.71
1951,2710.65
1950,2661.3
1949,2630.0
1948,2600.0
1947,2580.0
1946,2560.0
1945,2540.0
1944,2530.0
1943,2510.0
1942,2490.0
1941,2470.0
1940,2450.0
1939,2430.0
1938,2410.0
1937,2400.0
1936,2380.0
1935,2360.0
1934,2340.0
1933,2330.0
1932,2310.0
1931,2290.0
1930,2270.0
1929,2260.0
1928,2240.0
1927,2220.0
1926,2210.0
1925,2190.0
1924,2170.0
1923,2160.0
1922,2140.0
1921,2130.0
1920,2110.0
1919,2090.0
1918,2080.0
1917,2060.0
1916,2050.0
1915,2030.0
1914,2020.0
1913,2000.0
1912,1990.0
1911,1970.0
1910,1950.0
1909,1930.0
1908,1910.0
1907,1890.0
1906,1870.0
1905,1850.0
1904,1830.0
1903,1810.0
1902,1790.0
1901,1770.0
1900,1750.0
1899,1730.0
1898,1710.0
1897,1690.0
1896,1670.0
1895,1650.0
1894,1630.0
1893,1620.0
1892,1600.0
1891,1580.0
1890,1560.0
1889,1540.0
1888,1520.0
1887,1500.0
1886,1480.0
1885,1450.0
1884,1430.0
1883,1410.0
1882,1390.0
1881,1370.0
1880,1350.0
1879,1330.0
1878,1310.0
1877,1290.0
1876,1270.0
1875,1250.0
1874,1230.0
1873,1210.0
1872,1190.0
1871,1180.0
1870,1160.0
1869,1150.0
1868,1140.0
1867,1130.0
1866,1130.0
1865,1120.0
1864,1110.0
1863,1110.0
1862,1100.0
1861,1090.0
1860,1090.0
1859,1080.0
1858,1070.0
1857,1070.0
1856,1060.0
1855,1060.0
1854,1050.0
1853,1040.0
1852,1040.0
1851,1030.0
1850,1020.0
1849,1020.0
1848,1010.0
1847,1010.0
1846,999.0
1845,993.0
1844,987.0
1843,981.0
1842,975.0
1841,969.0
1840,963.0
1839,957.0
1838,951.0
1837,946.0
1836,940.0
1835,934.0
1834,928.0
1833,923.0
1832,917.0
1831,911.0
1830,906.0
1829,900.0
1828,895.0
1827,889.0
1826,884.0
1825,878.0
1824,873.0
1823,868.0
1822,862.0
1821,858.0
1820,855.0
1819,853.0
1818,852.0
