List of activities,Share of respondents
Mental health services for students,58%
Before- and/or after-school programs/childcare,45%
Healthcare services for students,44%
Food for students outside of the school day,41%
"Programming for families (adult education, career support, etc.)",26%
Access to technology/the Internet outside of school,17%
Supports tailored to families from different cultural or language backgrounds,17%
Print or ebooks to create or grow home libraries,13%
"Supports for students transitioning from elementary to middle school; middle to high school, etc.",7%
Supports to help students who have relocated adjust to their new school,7%
