Country,Number of days
Turkey,5
Serbia,19
Uruguay,20
Latvia,22
Lithuania,22
Azerbaijan,23
Georgia,24
Estonia,24
Croatia,26
Cyprus,26
Grenada,26
Mongolia,26
Hungary,29
Sri Lanka,30
Belize,31
Jordan,32
Bulgaria,32
Slovenia,33
Greece,33
Austria,34
Malaysia,34
Sweden,34
Albania,35
Kosovo,35
Saint Lucia,35
Poland,35
Germany,36
Portugal,36
Denmark,36
Italy,36
Ukraine,37
Liechtenstein,37
North Macedonia,38
Uganda,38
Romania,38
Luxembourg,39
Montenegro,40
Switzerland,40
Slovakia,40
Palestine,41
San Marino,41
Myanmar,42
Norway,43
Bosnia and Herzegovina,43
Dominica,44
Canada,45
Tunisia,45
Finland,46
Monaco,47
Czechia,47
United Kingdom,47
France,48
Morocco,48
Netherlands,48
Lebanon,48
Malta,49
Botswana,49
Belgium,51
Armenia,51
Iran,52
Andorra,54
Angola,54
Kenya,54
United States,57
Nepal,59
Japan,61
Libya,61
Moldova,62
Russia,62
Vatican,63
Spain,63
Syria,66
Paraguay,67
World,68
Indonesia,69
Belarus,70
Ireland,70
Iceland,73
Guyana,73
Costa Rica,75
Argentina,75
Mozambique,76
United Arab Emirates,76
Burkina Faso,77
Jamaica,78
Bahamas,78
Cape Verde,79
Togo,87
Trinidad and Tobago,87
Israel,87
India,90
Cuba,91
Iraq,92
Colombia,92
Eritrea,95
Mali,95
South Korea,96
Venezuela,98
Panama,99
Ethiopia,99
Mexico,100
Algeria,100
Namibia,101
Lesotho,101
Philippines,103
Bhutan,106
Honduras,109
Rwanda,111
Maldives,113
Papua New Guinea,113
Uzbekistan,116
Brazil,117
Guatemala,117
Zimbabwe,117
Gambia,118
Ecuador,120
Zambia,121
Barbados,122
Laos,122
Suriname,123
Peru,123
Kuwait,124
Eswatini,125
Bahrain,125
El Salvador,126
Dominican Republic,129
Kyrgyzstan,129
Vietnam,131
Bangladesh,131
Kazakhstan,134
Bolivia,137
Burundi,140
Niger,141
South Africa,142
Madagascar,142
Australia,142
Congo,143
Guinea,145
Cambodia,146
Malawi,146
Saint Vincent and the Grenadines,147
Sudan,148
Nigeria,148
Ghana,150
Oman,150
Senegal,150
Antigua and Barbuda,150
Benin,150
Chad,151
Nicaragua,153
Mauritania,153
Comoros,156
Seychelles,158
Fiji,158
Tajikistan,159
Cote d'Ivoire,161
Liberia,163
Democratic Republic of Congo,164
Chile,164
Equatorial Guinea,165
Pakistan,165
Saudi Arabia,169
Yemen,172
Egypt,172
Cameroon,173
Gabon,175
Haiti,179
Central African Republic,180
Sierra Leone,181
Afghanistan,183
Qatar,188
South Sudan,189
Sao Tome and Principe,190
Somalia,190
Guinea-Bissau,199
Djibouti,200
Singapore,208
Tanzania,236
Timor,242
Saint Kitts and Nevis,244
Mauritius,251
Taiwan,252
New Zealand,252
Thailand,253
Brunei,269
China,305
