Year,GDP per capita in U.S. dollars
2025*,8610.33
2024*,7891.84
2023*,7238.05
2022*,6338.52
2021*,4732.7
2020*,3282.04
2019*,6055.46
2018*,6361.58
2017,4685.07
2016,2907.46
2015,2723.37
2014,3876.41
2013,8282.15
2012,12693.64
2011,5402.25
2010,11417.42
2009,8524.77
2008,12570.87
2007,11711.14
2006,9659.64
2005,8467.72
2004,5988.39
2003,4831.42
2002,3833.57
2001,6485.16
2000,7388.14
1999,7067.88
1998,5980.04
1997,7424.95
1996,7372.45
1995,6882.21
1994,6192.59
1993,6780.86
1992,7703.53
1991,7776.95
1990,7193.54
1989,5881.53
1988,5795.81
1987,5815.61
1986,6524.78
1985,8319.67
