leading newspaper,Circulation in thousands
Trinity Mirror plc,8533.44
Newsquest Media Group,5434.47
Local World,4697.2
Johnston Press plc,4362.91
Associated Newspapers Ltd,3871.53
Evening Standard Ltd,3454.45
The Midland News Association Ltd,1987.18
ARCHANT,1463.94
D.C. Thomson & Co Ltd,1357.61
Tindle Newspapers Ltd,981.07
City AM,645.61
Independent News & Media,446.34
Romanes Media Group,398.94
NWN Media Ltd,398.19
Bullivant Media Ltd,305.3
CN Group Ltd,297.91
Irish News Ltd,245.5
KM Group,244.91
Guiton Group,189.14
Champion Newspapers,163.14
