cause of death,Number of deaths
Malignant neoplasm of other* and unspecified sites,4821
Symptoms and other ill-defined conditions,4132
"Bronchitis, emphysema and asthma",3789
Mental disorders,3711
"Malignant neoplasm of larynx, trachea, bronchus and lung",3483
Other forms of heart disease,3322
Ischaemic heart disease,3305
Cerebrovascular disease,3190
Other diseases of the nervous system and sense organs,2573
Pneumonia,1911
"Malignant neoplasm of intestine, except rectum",1381
Diabetes mellitus,1358
Malignant neoplasm of prostate,1260
All other accidents,1221
Leukaemia and other neopl. of lymph. and haemato tissue,1145
Infective and parasitic diseases (except tuberculosis),1068
Malignant neoplasm of breast,1044
Hypertensive disease,1022
Senility without mention of psychosis,1008
Other diseases of digestive system,978
