Year,Number of migrants
1957,571
1956,263
1955,129
1954,67
1953,136
1952,235
1951,98
1950,696
1949,1673
1948,2447
1947,745
1946,335
1945,195
1944,292
1943,394
1942,343
1941,451
1940,702
1939,3072
1938,2403
1937,1212
1936,869
1935,1504
1934,1032
1933,13332
1932,1296
1931,3604
1930,9231
1929,9002
1928,8755
1927,9211
1926,7126
1925,5341
1924,28806
1923,26538
1922,28635
1921,95089
1920,4813
1919,-
1918,-
1917,-
1916,-
1915,-
1914,-
1913,-
1912,-
1911,-
1910,-
1909,-
1908,-
1907,-
1906,-
1905,-
1904,-
1903,-
1902,-
1901,-
1900,-
1899,-
1898,4726
1897,4165
1896,691
1895,790
1894,1941
1893,16374
1892,40536
1891,27497
1890,11073
1889,4922
1888,5826
1887,6128
1886,3939
1885,3085
1884,4536
1883,2011
1882,4672
1881,5614
1880,2177
1879,489
1878,547
1877,533
1876,925
1875,984
1874,1795
1873,3338
1872,1647
1871,535
1870,223
1869,184
1868,-
1867,310
1866,412
1865,528
1864,165
1863,94
1862,63
1861,48
1860,82
1859,106
1858,9
1857,124
1856,20
1855,462
1854,208
1853,33
1852,110
1851,10
1850,5
1849,4
1848,-
1847,8
1846,4
1845,6
1844,36
1843,17
1842,10
1841,15
1840,5
1839,46
1838,41
1837,81
1836,53
1835,54
1834,54
1833,1
1832,34
1831,-
1830,2
1829,-
1828,1
1827,1
1826,-
1825,1
1824,4
1823,3
1822,3
1821,1
1820,5
