container ports in Brazil,Throughput in thousand TEUs
Santos  (São Paulo),3904.57
Itajaí inc. Navegantes/Portonave(Santa Catarina),1233.26
Paranaguá (Paraná),865.11
Rio Grande inc. Porto Alegre (Rio Grande do Sul),782.34
Sâo Francisco do Sul inc. Itapoá(Santa Catarina),735.14
Suape  (Pernambuco),476.35
Pecém inc.Fortaleza (Ceará),406.13
Rio de Janeiro  (Rio de Janeiro),372.91
Salvador  (Bahia),323.65
Itaguaí / Sepetiba (Rio de Janeiro),253.99
Vitória  (Espírito Santo),226.6
Vila do Conde inc.Belem (Pará),130.08
Imbituba (Santa Catarina),58.89
Natal  (Rio Grande do Norte),46.69
Porto Velho (Rondônia),15.26
