Month,Mobile phone users per 100 inhabitants
Mar'20,116.1
Feb'20,116.4
Jan '20,116.4
Dec '19,116.3
Nov '19,115.5
Oct '19,115.3
Sep '19,115.1
Aug '19,115.0
Jul '19,114.9
Jun '19,114.5
May '19,114.4
Apr '19,114.0
Mar '19,113.7
Feb '19,113.7
Jan '19,113.8
Dec '18,114.4
Nov '18,114.5
Oct '18,114.4
Sep '18,114.2
Aug '18,113.9
Jul '18,113.3
Jun '18,112.7
Apr '18,112.5
Mar '18,112.3
Feb '18,112.0
Jan '18,111.7
Dec '17,111.8
Nov '17,111.6
Oct '17,111.6
Sep '17,111.5
Aug '17,111.2
Jul '17,111.0
Jun '17,110.7
May '17,110.2
Apr '17,109.9
Mar '17,109.9
Feb '17,109.9
Jan '17,110.2
Dec '16,110.1
Nov '16,110.3
Oct '16,110.6
Sep '16,110.4
Aug '16,110.2
Jul '16,110.1
Jun '16,109.6
May '16,109.4
Apr '16,109.2
Mar '16,109.1
Feb '16,109.0
Jan '16,109.2
Sep '15,109.2
Ago '15,109.1
Jul '15,108.9
Jun '15,108.5
Mai '15,108.4
Apr '15,108.4
Mar '15,108.3
Febr '15,108.6
Jan '15,108.8
