Year,GDP per capita in U.S. dollars
2025*,9475.79
2024*,9019.66
2023*,8556.18
2022*,8124.93
2021*,7674.54
2020*,7295.13
2019*,7806.96
2018,7293.83
2017,6594.18
2016,5995.08
2015,5839.61
2014,6079.69
2013,6296.19
2012,5979.22
2011,5600.64
2010,5174.53
2009,4298.3
2008,4471.12
2007,4058.39
2006,3442.39
2005,2955.79
2004,2714.64
2003,2404.94
2002,2133.12
2001,1921.67
2000,2030.73
1999,2057.32
1998,1866.6
1997,2492.62
1996,3071.06
1995,2871.56
1994,2515.15
1993,2234.18
1992,2025.52
1991,1777.47
1990,1571.26
1989,1349.93
1988,1159.09
1987,969.08
1986,840.48
1985,775.78
