State,Percent change from preceding period
New Mexico,3.5%
Wyoming,3.1%
Texas,3.1%
Alaska,3%
Washington,2.6%
Vermont,2.5%
Rhode Island,2.5%
California,2.5%
Massachusetts,2.4%
Colorado,2.3%
Pennsylvania,2.3%
New Hampshire,2.2%
New York,2.2%
Utah,2.1%
Illinois,2%
Oklahoma,2%
Missouri,1.9%
Alabama,1.9%
North Dakota,1.8%
Connecticut,1.8%
Oregon,1.8%
United States,1.8%
South Carolina,1.7%
Florida,1.7%
Arkansas,1.6%
Ohio,1.6%
West Virginia,1.6%
New Jersey,1.5%
Mississippi,1.5%
Maine,1.5%
Virginia,1.5%
Louisiana,1.5%
Arizona,1.4%
Hawaii,1.4%
Maryland,1.3%
Montana,1.3%
Tennessee,1.3%
North Carolina,1.2%
Wisconsin,1.1%
Nevada,1.1%
District of Columbia,1%
Georgia,1%
Kentucky,1%
Minnesota,0.8%
Kansas,0.8%
Idaho,0.7%
Iowa,0.7%
Michigan,0.7%
Indiana,0.3%
Nebraska,0.2%
Delaware,0%
South Dakota,0%
