Profession,Women's salaries as a percentage of men's
Financial specialists,66%
Podiatrists,67%
Brokerage clerks,71%
Physicians and surgeons,71%
Aircraft pilots,71%
Financial advisors,73%
Dentists,74%
Accountants,76%
Veterinarians,81%
Lawyers and judges,82%
Economists,82%
Physician assistants,83%
Postsecondary teachers,84%
Computer hardware engineers,84%
Criminal detectives,85%
P.R. specialists,85%
Psychologists,86%
Construction managers,86%
Computer software engineers,88%
Nurses,89%
Pharmacists,91%
Chemists,96%
Dental hygienists,100%
H.R. specialists,100%
Advertising salespeople,100%
