Year,GDP per capita in U.S. dollars
2025*,39738.45
2024*,38820.75
2023*,37915.91
2022*,36689.82
2021*,35061.62
2020*,30657.3
2019,33159.07
2018,34500.21
2017,32367.09
2016,30932.78
2015,30213.1
2014,35456.72
2013,35219.82
2012,34469.65
2011,38003.36
2010,35657.65
2009,36849.94
2008,40689.11
2007,37685.36
2006,33339.75
2005,31958.53
2004,31239.99
2003,27488.53
2002,22288.64
2001,20419.54
2000,20112.61
1999,21967.88
1998,22282.16
1997,21808.66
1996,23032.91
1995,20607.14
1994,19152.13
1993,18575.43
1992,23119.69
1991,21798.6
1990,20654.54
1989,16562.29
1988,15936.29
1987,14387.76
1986,11462.72
1985,8094.69
