ice hockey team,Number of followers in thousands
Pittsburgh Penguins,1452
Chicago Blackhawks,1340
Boston Bruins,1263
Toronto Maple Leafs,1017
New York Rangers,967
Washington Capitals,757
Detroit Red Wings,743
Vegas Golden Knights,658
Montreal Canadiens,645
Los Angeles Kings,612
Edmonton Oilers,586
St Louis Blues,580
Philadelphia Flyers,569
Tampa Bay Lightning,518
San Jose Sharks,509
Vancouver Canucks,443
Dallas Stars,418
Colorado Avalanche,418
Minnesota Wild,413
Winnipeg Jets,404
Nashville Predators,387
Calgary Flames,380
Buffalo Sabres,361
Anaheim Ducks,357
Columbus Blue Jackets,347
New York Islanders,323
New Jersey Devils,311
Carolina Hurricanes,309
Ottawa Senators,287
Arizona Coyotes,257
Florida Panthers,232
