sector,Average annual salary in yuan
"Information transmission, computer services and software",161352
"Scientific research, technical service and geologic prospecting",133459
Financial intermediation,131405
"Health, social security and social welfare",108903
"Production and distribution of electricity, gas and water",107733
"Culture, sports and entertainment",107708
Education,97681
"Traffic, transport, storage and post",97050
Public management and social organization,94369
Mining,91068
Average,90501
Wholesale and retail trades,89047
Leasing and business services,88190
Real estate,80157
Manufacturing,78147
Construction,65580
"Management of water conservancy, environment",61158
Services to households and other services,60232
Hotels and catering services,50346
"Agriculture, forestry, animal husbandry and fishery",39340
