Response,Share of unemployed individuals
Imo,48.7%
Akwa Ibom,45.2%
Rivers,43.7%
Delta,40.3%
Kaduna,39.8%
Taraba,39.4%
Kogi,36%
Abia,35.5%
Plateau,35.2%
Niger,33.8%
Gombe,33.3%
Kano,31.6%
Cross River,31.6%
Adamawa,29.3%
Federal Capital Territory (FCT),29.1%
Bayelsa,27.8%
Enugu,27.2%
Yobe,26.8%
Katsina,23.6%
Benue,23.4%
Jigawa,22.4%
Bauchi,21.9%
Ondo,21.1%
Borno,19.9%
Lagos,19.5%
Edo,19%
Oyo,16.4%
Ogun,16.3%
Kebbi,16.1%
Nasarawa,16%
Ekiti,15.5%
Osun,15.3%
Ebonyi,14.6%
Zamfara,14%
Sokoto,13.9%
Kwara,13.8%
Anambra,13.1%
