State,Population
California,826521
Texas,600693
New York,568613
Florida,429975
Pennsylvania,421745
Ohio,317286
Illinois,296807
North Carolina,280891
Georgia,266840
Massachusetts,246195
Virginia,244897
Michigan,223499
Indiana,190079
New Jersey,180487
Missouri,174478
Arizona,161893
Tennessee,158077
Washington,147820
Wisconsin,143849
Maryland,140499
South Carolina,133728
Kentucky,132667
Minnesota,130567
Louisiana,128857
Colorado,119141
Alabama,116625
Connecticut,110867
Oklahoma,110059
Iowa,96609
Mississippi,93382
Oregon,89211
Arkansas,84011
Kansas,80546
Nebraska,51012
Utah,48364
West Virginia,46910
Hawaii,42918
New Mexico,42907
New Hampshire,41073
Rhode Island,40901
District of Columbia,38858
Nevada,37663
Maine,37206
Puerto Rico,35370
South Dakota,34018
Idaho,30331
Montana,28943
Alaska,26673
Vermont,25701
Delaware,24895
North Dakota,24335
Wyoming,14240
