State,"Burglary rate per 100,000 inhabitants"
New Mexico,696.8
Oklahoma,671.7
Mississippi,627.0
Arkansas,599.6
Louisiana,579.0
South Carolina,533.4
Alabama,531.9
North Carolina,519.1
Nevada,503.5
Alaska,487.1
Washington,453.6
Tennessee,437.4
Missouri,430.4
Arizona,394.3
Texas,392.8
California,386.1
Hawaii,377.2
Ohio,375.5
Georgia,372.1
Iowa,371.1
Oregon,349.1
Colorado,348.4
Kentucky,345.7
Kansas,342.7
North Dakota,342.2
United States,340.5
West Virginia,328.7
Indiana,323.7
Delaware,304.8
South Dakota,299.1
Florida,295.2
Michigan,286.1
Minnesota,282.4
Maryland,278.9
Utah,276.7
Illinois,271.7
Montana,270.1
District of Columbia,261.1
Nebraska,245.3
Wyoming,241.2
Idaho,219.7
Rhode Island,219.1
Wisconsin,217.6
Vermont,204.3
New Jersey,184.6
Pennsylvania,182.4
Connecticut,180.7
Massachusetts,179.0
Maine,174.8
Virginia,162.8
New York,141.9
New Hampshire,126.3
