Month,Index number of sales per week
Jun 20,226.9
May 20,224.5
Apr 20,184.9
Mar 20,156.0
Feb 20,147.7
Jan 20,152.3
Dec 19,148.5
Nov 19,145.9
Oct 19,148.9
Sep 19,149.0
Aug 19,151.1
Jul 19,157.3
Jun 19,146.5
May 19,146.1
Apr 19,146.1
Mar 19,144.6
Feb 19,141.8
Jan 19,137.6
Dec 18,132.0
Nov 18,134.9
Oct 18,131.4
Sep 18,131.3
Aug 18,131.8
Jul 18,130.0
Jun 18,127.3
May 18,128.9
Apr 18,121.9
Mar 18,118.6
Feb 18,122.1
Jan 18,118.8
Dec 17,119.0
Nov 17,122.7
Oct 17,120.9
Sep 17,124.2
Aug 17,117.4
Jul 17,112.3
Jun 17,115.1
May 17,111.7
Apr 17,113.7
Mar 17,108.7
Feb 17,109.6
Jan 17,109.9
Dec 16,110.3
Nov 16,111.9
Oct 16,109.2
Sep 16,105.8
Aug 16,101.9
Jul 16,98.6
Jun 16,97.4
May 16,100.2
Apr 16,92.0
Mar 16,92.8
Feb 16,89.2
Jan 16,90.2
