Exports to,Export value in TIV in million constant (1990) U.S. dollars
Saudi Arabia,3138
Australia,1215
Japan,870
South Korea,829
India,641
Qatar,531
Netherlands,488
Israel,482
United Arab Emirates,383
Afghanistan,377
Norway,333
United Kingdom,185
Italy,173
Poland,130
Turkey,128
Greece,79
NATO,70
Lebanon,60
Canada,58
France,56
Taiwan,51
Egypt,48
Singapore,46
Spain,40
Brazil,39
Slovakia,36
Portugal,29
Morocco,26
Jordan,25
Latvia,22
Thailand,17
Finland,16
Tunisia,15
Germany,13
Argentina,11
Philippines,11
Colombia,10
Bahrain,10
Djibouti,8
Kuwait,7
Zambia,6
Albania,5
Kenya,4
Cameroon,4
Romania,4
Georgia,4
Jamaica,3
Pakistan,3
Nepal,3
Botswana,2
Uzbekistan,2
Indonesia,2
Estonia,2
Niger,1
Libya GNC,1
Austria,1
Czechia,0
