Year,Gross domestic product in billion international dollars
2021*,343.84
2020*,321.2
2019,346.93
2018,333.78
2017,317.47
2016,301.05
2015,292.06
2014,283.97
2013,276.61
2012,274.38
2011,280.6
2010,279.6
2009,271.66
2008,278.29
2007,272.11
2006,258.51
2005,246.91
2004,237.59
2003,227.3
2002,225.25
2001,220.05
2000,211.22
1999,199.01
1998,188.8
1997,178.13
1996,167.73
1995,159.14
1994,152.35
1993,146.98
1992,144.57
1991,137.06
1990,128.25
1989,114.62
1988,103.42
1987,94.83
1986,85.98
1985,81.58
1984,77.8
