City,Date costs in U.S. dollars
Zurich,202.7$
Oslo,163.9$
Copenhagen,157.8$
Helsinki,150.5$
Tokyo,148.3$
New York City,142.8$
Amsterdam,140.8$
London,137.7$
San Francisco,137.5$
Stockholm,132.2$
Brussels,130.1$
Edinburgh,128.5$
Milan,126.5$
Boston,125.7$
Sydney,122.7$
Chicago,122.1$
Hong Kong,122$
Paris,120.7$
Frankfurt,120.1$
Dublin,119.6$
Dubai,116.5$
Auckland,112.9$
Rome,109$
Melbourne,107.1$
Vancouver,106.9$
Berlin,104.7$
Madrid,104.5$
Vienna,102.2$
Wellington,101$
Toronto,99.2$
Athens,95.1$
Singapore,93.5$
Rio de Janeiro,76$
Sao Paulo,74.1$
Lisbon,72.9$
Seoul,72.7$
Moscow,70.6$
Johannesburg,69.8$
Shanghai,68.9$
Prague,65.2$
Mexico City,59.7$
Warsaw,57.7$
Lagos,55.5$
Cape Town,53.4$
Dhaka,49.1$
Kuala Lumpur,49$
New Delhi,48.5$
Manila,45.3$
Jakarta,45$
Mumbai,43.7$
Istanbul,43.2$
Buenos Aires,42.8$
Bangalore,42.6$
Cairo,41.9$
