Brand/segment,Percent increase in sales
L'Oréal Superior Preference/ women's hair coloring,5.3%
Garnier Nutrisse/ women's hair coloring,-3.7%
TRESemmé Tres Two/ hair spray/spritz,5.6%
L'Oréal Excellence/ women's hair coloring,-9.4%
Just For Men/ men's hair coloring,-3.5%
Clairol Nice 'n Easy/ women's hair coloring,-10.5%
Revlon ColorSilk Beautiful Color/ women's hair coloring,-0.8%
Conair/ hair appliances,3.5%
Clairol Nice 'n Easy Root Touch-Up/ women's hair coloring,8.9%
Organix/ hair conditioner/crème rinse,18.3%
Suave Proressionals/ regular shampoo,-3.3%
L'Oréal Feria/ women's hair coloring,-4.2%
Organix/ regular shampoo,33.8%
Rogaine/ hair growth products,5%
Clairol Natural Instincts/ women's hair coloring,-3.1%
Conair Infinit Pro/ hair appliances,2.8%
Suave Naturals/ regular shamppoo,-9.3%
Head & Shoulders Dry Scalp Care/ dandruff shampoo,-5.7%
Suave Professionals/ hair conditioner/crème rinse,-7.2%
Suave/ hair spray/spritz,-1.3%
