Year,Population in thousands
2020,11589.62
2019,11539.33
2018,11482.18
2017,11419.75
2016,11354.41
2015,11287.93
2014,11221.23
2013,11154.01
2012,11085.36
2011,11013.86
2010,10938.74
2009,10859.93
2008,10778.76
2007,10697.58
2006,10619.48
2005,10546.89
2004,10480.12
2003,10419.03
2002,10364.88
2001,10319.03
2000,10282.05
1999,10255.16
1998,10237.3
1997,10223.79
1996,10208.27
1995,10186.3
1994,10155.91
1993,10118.68
1992,10078.1
1991,10039.45
1990,10006.55
1989,9980.18
1988,9959.01
1987,9942.28
1986,9928.54
1985,9916.58
1984,9906.37
1983,9897.88
1982,9889.82
1981,9880.59
1980,9869.0
1979,9854.37
1978,9836.81
1977,9816.69
1976,9794.77
1975,9771.58
1974,9747.02
1973,9720.75
1972,9692.85
1971,9663.32
1970,9632.18
1969,9599.65
1968,9565.59
1967,9529.05
1966,9488.76
1965,9443.95
1964,9394.3
1963,9340.42
1962,9283.55
1961,9225.41
1960,9167.36
1959,9110.07
1958,9053.64
1957,8997.85
1956,8942.41
1955,8887.28
1954,8832.7
1953,8779.27
1952,8727.99
1951,8680.18
1950,8637.52
1949,8600.0
1948,8570.0
1947,8540.0
1946,8510.0
1945,8480.0
1944,8450.0
1943,8420.0
1942,8390.0
1941,8360.0
1940,8340.0
1939,8310.0
1938,8280.0
1937,8250.0
1936,8230.0
1935,8200.0
1934,8170.0
1933,8140.0
1932,8120.0
1931,8090.0
1930,8050.0
1929,8010.0
1928,7960.0
1927,7900.0
1926,7850.0
1925,7800.0
1924,7750.0
1923,7700.0
1922,7640.0
1921,7600.0
1920,7570.0
1919,7550.0
1918,7530.0
1917,7530.0
1916,7520.0
1915,7510.0
1914,7510.0
1913,7500.0
1912,7500.0
1911,7480.0
1910,7440.0
1909,7390.0
1908,7330.0
1907,7250.0
1906,7170.0
1905,7090.0
1904,7010.0
1903,6940.0
1902,6860.0
1901,6790.0
1900,6720.0
1899,6650.0
1898,6580.0
1897,6520.0
1896,6460.0
1895,6390.0
1894,6330.0
1893,6270.0
1892,6210.0
1891,6150.0
1890,6090.0
1889,6030.0
1888,5980.0
1887,5920.0
1886,5860.0
1885,5810.0
1884,5750.0
1883,5700.0
1882,5640.0
1881,5590.0
1880,5540.0
1879,5490.0
1878,5450.0
1877,5400.0
1876,5360.0
1875,5310.0
1874,5270.0
1873,5220.0
1872,5180.0
1871,5140.0
1870,5100.0
1869,5060.0
1868,5020.0
1867,4980.0
1866,4950.0
1865,4910.0
1864,4880.0
1863,4840.0
1862,4810.0
1861,4770.0
1860,4740.0
1859,4710.0
1858,4680.0
1857,4650.0
1856,4620.0
1855,4590.0
1854,4560.0
1853,4530.0
1852,4510.0
1851,4480.0
1850,4440.0
1849,4410.0
1848,4370.0
1847,4340.0
1846,4300.0
1845,4260.0
1844,4220.0
1843,4190.0
1842,4150.0
1841,4120.0
1840,4080.0
1839,4050.0
1838,4010.0
1837,3980.0
1836,3940.0
1835,3910.0
1834,3880.0
1833,3850.0
1832,3810.0
1831,3780.0
1830,3750.0
1829,3720.0
1828,3680.0
1827,3650.0
1826,3620.0
1825,3590.0
1824,3560.0
1823,3530.0
1822,3500.0
1821,3470.0
1820,3450.0
1819,3430.0
1818,3420.0
1817,3410.0
1816,3400.0
1815,3390.0
1814,3380.0
1813,3370.0
1812,3360.0
1811,3350.0
1810,3340.0
1809,3330.0
1808,3320.0
1807,3310.0
1806,3300.0
1805,3300.0
1804,3290.0
1803,3280.0
1802,3270.0
1801,3260.0
1800,3250.0
