Year,Inflation rate compared to previous year
2025*,1.56%
2024*,1.48%
2023*,1.4%
2022*,1.39%
2021*,1.25%
2020*,0.64%
2019,1.25%
2018,2.31%
2017,2.22%
2016,1.77%
2015,0.62%
2014,0.49%
2013,1.25%
2012,2.63%
2011,3.35%
2010,2.33%
2009,-0.01%
2008,4.49%
2007,1.82%
2006,2.33%
2005,2.54%
2004,1.86%
2003,1.52%
2002,1.55%
2001,2.44%
2000,2.68%
1999,1.14%
1998,0.91%
1997,1.5%
1996,1.77%
1995,1.27%
1994,2.4%
1993,2.49%
1992,2.26%
1991,3.17%
1990,3.45%
1989,3.11%
1988,1.16%
1987,1.55%
1986,1.3%
1985,4.87%
