CEO,Compensation in million U.S. dollars
Stephen J. Hemsley (UnitedHealth Group),101.96
Edward A. Mueller (Qwest Communications),65.8
Robert A. Iger (Walt Disney),53.32
George Paz (Express Scripts),51.52
Lew Frankfort (Coach),49.45
Ralph Lauren (Polo Ralph Lauren),43.0
John C. Martin (Gilead Sciences),42.72
James T. Hackett (Anadarko Petroleum),38.94
John T. Chambers (Cisco Systems),37.9
Ivan G. Seidenberg (Verizon Communications),36.75
David E. I. Pyott (Allergan),33.76
Gregory T. Lucier (Life Technologies),33.75
Charles D. Davidson (Noble Energy),33.44
John H. Hammergren (McKesson),32.46
Joseph M. Tucci (EMC),31.63
Jen-Hsun Huang (Nvidia),31.4
Gregory H. Boyce (Peabody Energy),30.66
F. H. Merelli (Cimarex Energy),30.53
Samuel J. Palmisano (IBM),30.32
Louis C. Camilleri (Philip Morris Intl.),30.08
