household expenditure type,Average expenditure in Canadian dollars
Shelter,21068
Income taxes,18860
Transportation,15604
Food expenditures,9092
Personal insurance payments and pension contributions,6164
Household operations,5511
Recreation,4680
Clothing and accessories,3803
Health care,2808
"Gifts of money, support payments and charitable contributions",2605
Household furnishings and equipment,2488
Miscellaneous expenditures,2185
Tobacco products and alcoholic beverages,1915
Education,1787
Personal care,1547
Games of chance,277
Reading materials and other printed matter,193
