Year,Real GDP growth
2019,2.2%
2018,3%
2017,2.3%
2016,1.7%
2015,3.1%
2014,2.5%
2013,1.8%
2012,2.2%
2011,1.6%
2010,2.6%
2009,-2.5%
2008,-0.1%
2007,1.9%
2006,2.9%
2005,3.5%
2004,3.8%
2003,2.9%
2002,1.7%
2001,1%
2000,4.1%
1999,4.8%
1998,4.5%
1997,4.4%
1996,3.8%
1995,2.7%
1994,4%
1993,2.8%
1992,3.5%
1991,-0.1%
1990,1.9%
1989,3.7%
1988,4.2%
1987,3.5%
1986,3.5%
1985,4.2%
1984,7.2%
1983,4.6%
1982,-1.8%
1981,2.5%
1980,-0.3%
1979,3.2%
1978,5.5%
1977,4.6%
1976,5.4%
1975,-0.2%
1974,-0.5%
1973,5.6%
1972,5.3%
1971,3.3%
1970,0.2%
1969,3.1%
1968,4.9%
1967,2.7%
1966,6.6%
1965,6.5%
1964,5.8%
1963,4.4%
1962,6.1%
1961,2.6%
1960,2.6%
1959,6.9%
1958,-0.7%
1957,2.1%
1956,2.1%
1955,7.1%
1954,-0.6%
1953,4.7%
1952,4.1%
1951,8%
1950,8.7%
1949,-0.6%
1948,4.1%
1947,-1.1%
1946,-11.6%
1945,-1%
1944,8%
1943,17%
1942,18.9%
1941,17.7%
1940,8.8%
1939,8%
1938,-3.3%
1937,5.1%
1936,12.9%
1935,8.9%
1934,10.8%
1933,-1.2%
1932,-12.9%
1931,-6.4%
1930,-8.5%
