occupation,"Death rate per 100,000 population"
Elementary trades and related occupations,12.5
"Leisure, travel and related personal service occupations",9.1
Caring personal service occupations,7.2
"Textiles, printing and other skilled trades",7
Other managers and proprietors,5.9
Sales occupations,5.8
Elementary administration and service occupations,5.6
Health professionals,4.9
"Business, media and public service professionals",4.6
Customer service operations,4.4
Administrative occupations:,3.8
Secretarial and related occupations,3.7
Health and social care associate professionals,3.6
Teaching and educational professionals,3.3
Business and public service associate professionals,2.8
Corporate managers and directors,2.6
"Process, plant and machine operatives",-
"Culture, media and sports occupations",-
Transport and mobile machine drivers and operatives,-
Skilled agricultural and related trades,-
"Skilled metal, electrical and electronic trades",-
Protective service occupations,-
"Science, Engineering and technology associate professionals",-
"Science, research, engineering and technology professionals",-
Skilled construction and building trades,-
