Response,Percentage of hospitalizations
Any underlying condition,89.3%
Hypertension,49.7%
Obesity,48.3%
Chronic metabolic disease,36.1%
Diabetes mellitus,28.3%
Chronic lung disease,34.6%
Asthma,17%
Chronic obstructive pulmonary disease,10.7%
Cardiovascular disease,27.8%
Coronary artery disease,14.2%
Congestive heart failure,6.8%
Neurologic disease,14%
Renal disease,13.1%
Immunosuppressive condition,9.6%
Gastrointestinal/Liver disease,6.6%
Blood disorder,5.8%
Rheumatologic/Autoimmune disease,1.9%
Pregnancy,9.1%
