Quarter,Quarter-on-quarter growth
Q3 2020,15.5%
Q2 2020,-19.8%
Q1 2020,-2.5%
Q4 2019,0.1%
Q3 2019,0.3%
Q2 2019,0%
Q1 2019,0.6%
Q4 2018,0.2%
Q3 2018,0.6%
Q2 2018,0.4%
Q1 2018,0.1%
Q4 2017,0.4%
Q3 2017,0.4%
Q2 2017,0.3%
Q1 2017,0.5%
Q4 2016,0.6%
Q3 2016,0.3%
Q2 2016,0.5%
Q1 2016,0.2%
Q4 2015,0.7%
Q3 2015,0.4%
Q2 2015,0.7%
Q1 2015,0.5%
Q4 2014,0.6%
Q3 2014,0.6%
Q2 2014,0.7%
Q1 2014,0.8%
Q4 2013,0.6%
Q3 2013,0.9%
Q2 2013,0.8%
Q1 2013,0.5%
Q4 2012,-0.2%
Q3 2012,1.2%
Q2 2012,-0.1%
Q1 2012,0.7%
Q4 2011,0.1%
Q3 2011,0.3%
Q2 2011,0.1%
Q1 2011,0.4%
Q4 2010,0%
Q3 2010,0.7%
Q2 2010,1%
Q1 2010,0.6%
Q4 2009,0.3%
Q3 2009,0.1%
Q2 2009,-0.2%
Q1 2009,-1.7%
Q4 2008,-2.1%
Q3 2008,-1.6%
Q2 2008,-0.6%
Q1 2008,0.5%
Q4 2007,0.5%
Q3 2007,0.8%
Q2 2007,0.6%
Q1 2007,0.9%
Q4 2006,0.5%
Q3 2006,0.1%
Q2 2006,0.3%
Q1 2006,0.5%
Q4 2005,1.4%
Q3 2005,1.1%
Q2 2005,1.2%
Q1 2005,0.8%
Q4 2004,0.3%
Q3 2004,0.2%
Q2 2004,0.4%
Q1 2004,0.4%
Q4 2003,0.9%
Q3 2003,1.1%
Q2 2003,0.9%
Q1 2003,0.7%
Q4 2002,0.8%
Q3 2002,0.7%
Q2 2002,0.5%
Q1 2002,0.4%
Q4 2001,0.4%
Q3 2001,0.8%
Q2 2001,0.8%
Q1 2001,1.2%
Q4 2000,0.2%
Q3 2000,0.3%
Q2 2000,0.6%
Q1 2000,0.8%
