Month,Number of users
"Jan 05, 2021",63953197
"Jan 04, 2021",63867764
"Jan 03, 2021",63751223
"Jan 02, 2021",63652587
"Jan 01, 2021",63545221
"Dec 31, 2020",63476578
"Dec 30, 2020",63407664
"Dec 29, 2020",63321084
"Dec 28, 2020",63199039
"Dec 27, 2020",63100914
"Dec 26, 2020",62996327
"Dec 25, 2020",62874240
"Dec 24, 2020",62771338
"Dec 23, 2020",62651498
"Dec 22, 2020",62567166
"Dec 21, 2020",62445179
"Dec 20, 2020",62354757
"Dec 19, 2020",62272252
"Dec 18, 2020",62164118
"Dec 17, 2020",62047818
"Dec 16, 2020",61909985
"Dec 15, 2020",61804966
"Dec 14, 2020",61690250
"Dec 13, 2020",61598443
"Dec 12, 2020",61510603
"Dec 11, 2020",61393514
"Dec 10, 2020",61296788
"Dec 09, 2020",61173163
"Dec 08, 2020",61061885
"Dec 07, 2020",60951761
"Dec 06, 2020",60870532
"Dec 05, 2020",60800549
"Dec 04, 2020",60704880
"Dec 03, 2020",60632596
"Dec 02, 2020",60541444
"Dec 01, 2020",60467342
"Nov 30, 2020",60357819
"Nov 29, 2020",60237279
"Nov 28, 2020",60152825
"Nov 27, 2020",60040111
"Nov 26, 2020",59940448
"Nov 25, 2020",59765575
"Nov 24, 2020",59629098
"Nov 23, 2020",59454166
"Nov 22, 2020",59266274
"Nov 21, 2020",59138875
"Nov 20, 2020",58973416
"Nov 19, 2020",58795042
"Nov 18, 2020",58593733
"Nov 17, 2020",58474239
"Nov 16, 2020",58334504
"Nov 15, 2020",58186351
"Nov 14, 2020",57904263
"Nov 13, 2020",57705634
"Nov 12, 2020",57514505
"Nov 11, 2020",57265035
"Nov 10, 2020",57098223
"Nov 09, 2020",56897595
"Nov 08, 2020",56665004
"Nov 07, 2020",56369296
"Nov 06, 2020",56146234
"Nov 05, 2020",55991743
"Nov 04, 2020",55889516
"Nov 03, 2020",55795796
"Nov 02, 2020",55731554
"Nov 01, 2020",55709915
"Oct 31, 2020",55649649
"Oct 30, 2020",55631779
"Oct 29, 2020",55578714
"Oct 28, 2020",55527427
"Oct 27, 2020",55500633
"Oct 26, 2020",55413053
"Oct 25, 2020",55386127
"Oct 24, 2020",55335238
"Oct 23, 2020",55271863
"Oct 22, 2020",55229361
"Oct 21, 2020",55175495
"Oct 20, 2020",55148171
"Oct 19, 2020",55106842
"Oct 18, 2020",55041177
"Oct 17, 2020",55017742
"Oct 16, 2020",54972122
"Oct 15, 2020",54949726
"Oct 14, 2020",54861963
"Oct 13, 2020",54800335
"Oct 12, 2020",54764587
"Oct 11, 2020",54701746
"Oct 10, 2020",54670996
"Oct 09, 2020",54597777
"Oct 08, 2020",54553988
"Oct 07, 2020",54530005
"Oct 06, 2020",54483954
"Oct 05, 2020",54447673
"Oct 04, 2020",54400552
"Oct 03, 2020",54363474
"Oct 02, 2020",54342007
"Oct 01, 2020",54274719
"Sep 30, 2020",54253128
"Sep 29, 2020",54200481
"Sep 28, 2020",54156314
"Sep 27, 2020",54133987
"Sep 26, 2020",54079775
"Sep 25, 2020",54064452
"Sep 24, 2020",54017547
"Sep 23, 2020",53977552
"Sep 22, 2020",53947345
"Sep 21, 2020",53897442
"Sep 20, 2020",53874669
"Sep 19, 2020",53830258
"Sep 18, 2020",53775172
"Sep 17, 2020",53751874
"Sep 16, 2020",53703778
"Sep 15, 2020",53674747
"Sep 14, 2020",53634790
"Sep 13, 2020",53591694
"Sep 12, 2020",53575212
"Sep 11, 2020",53524205
"Sep 10, 2020",53504279
"Sep 09, 2020",53467691
"Sep 08, 2020",53425635
"Sep 07, 2020",53405701
