Week ending,Number of new cases
"Jan 3, 2021",1546543
"Dec 27, 2020",1762351
"Dec 20, 2020",1640521
"Dec 13, 2020",1665876
"Dec 6, 2020",1649508
"Nov 29, 2020",1677874
"Nov 22, 2020",1756637
"Nov 15, 2020",1864898
"Nov 8, 2020",2042757
"Nov 1, 2020",1791609
"Oct 25, 2020",1453474
"Oct 18, 2020",1022065
"Oct 11, 2020",732829
"Oct 4, 2020",495953
"Sep 27, 2020",429833
"Sep 20, 2020",372262
"Sep 13, 2020",307711
"Sep 6, 2020",258870
"Aug 30, 2020",226318
"Aug 23, 2020",197544
"Aug 16, 2020",178613
"Aug 9, 2020",152078
"Aug 2, 2020",134642
"Jul 26, 2020",123813
"Jul 19, 2020",113031
"Jul 12, 2020",108359
"Jul 5, 2020",109595
"Jun 28, 2020",117689
"Jun 21, 2020",122765
"Jun 14, 2020",124405
"Jun 7, 2020",119813
"May 31, 2020",125857
"May 24, 2020",130554
"May 17, 2020",152273
"May 10, 2020",175816
"May 3, 2020",172191
"Apr 26, 2020",201373
"Apr 19, 2020",222171
"Apr 12, 2020",244387
"Apr 5, 2020",256042
"Mar 29, 2020",228198
"Mar 22, 2020",129156
"Mar 15, 2020",47477
"Mar 8, 2020",11008
"Mar 1, 2020",2114
"Feb 23, 2020",131
"Feb 16, 2020",5
"Feb 9, 2020",17
"Feb 2, 2020",21
"Jan 26, 2020",3
