Month,Number of cases
"Jan 5, 2021",2181619
"Jan 4, 2021",2166244
"Jan 3, 2021",2155446
"Jan 2, 2021",2141201
"Jan 1, 2021",2129376
"Dec 31, 2020",2107166
"Dec 30, 2020",2083689
"Dec 29, 2020",2067487
"Dec 28, 2020",2056277
"Dec 27, 2020",2047696
"Dec 26, 2020",2038783
"Dec 25, 2020",2028354
"Dec 24, 2020",2009317
"Dec 23, 2020",1991278
"Dec 22, 2020",1977370
"Dec 21, 2020",1964054
"Dec 20, 2020",1953185
"Dec 19, 2020",1938083
"Dec 18, 2020",1921778
"Dec 17, 2020",1906377
"Dec 16, 2020",1888144
"Dec 15, 2020",1870576
"Dec 14, 2020",1855737
"Dec 13, 2020",1843712
"Dec 12, 2020",1825775
"Dec 11, 2020",1805873
"Dec 10, 2020",1787147
"Dec 9, 2020",1770149
"Dec 8, 2020",1757394
"Dec 7, 2020",1742557
"Dec 6, 2020",1728878
"Dec 5, 2020",1709991
"Dec 4, 2020",1688939
"Dec 3, 2020",1664829
"Dec 2, 2020",1641610
"Dec 1, 2020",1620901
"Nov 30, 2020",1601554
"Nov 29, 2020",1585178
"Nov 28, 2020",1564532
"Nov 27, 2020",1538217
"Nov 26, 2020",1509875
"Nov 25, 2020",1480874
"Nov 24, 2020",1455022
"Nov 23, 2020",1431795
"Nov 22, 2020",1408868
"Nov 21, 2020",1380531
"Nov 20, 2020",1345767
"Nov 19, 2020",1308528
"Nov 18, 2020",1272352
"Nov 17, 2020",1238072
"Nov 16, 2020",1205881
"Nov 15, 2020",1178529
"Nov 14, 2020",1144552
"Nov 13, 2020",1107303
"Nov 12, 2020",1066401
"Nov 11, 2020",1028424
"Nov 10, 2020",995463
"Nov 9, 2020",960373
"Nov 8, 2020",935104
"Nov 7, 2020",902490
"Nov 6, 2020",862681
"Nov 5, 2020",824879
"Nov 4, 2020",790377
"Nov 3, 2020",759829
"Nov 2, 2020",731588
"Nov 1, 2020",709335
"Oct 31, 2020",679430
"Oct 30, 2020",647674
"Oct 29, 2020",616595
"Oct 28, 2020",589766
"Oct 27, 2020",564778
"Oct 26, 2020",542789
"Oct 25, 2020",525782
"Oct 24, 2020",504509
"Oct 23, 2020",484869
"Oct 22, 2020",465726
"Oct 21, 2020",449648
"Oct 20, 2020",434449
"Oct 19, 2020",423578
"Oct 18, 2020",414241
"Oct 17, 2020",402536
"Oct 16, 2020",391611
"Oct 15, 2020",381602
"Oct 14, 2020",372799
"Oct 13, 2020",365467
"Oct 12, 2020",359569
"Oct 11, 2020",354950
"Oct 10, 2020",349494
"Oct 9, 2020",343770
"Oct 8, 2020",338398
"Oct 7, 2020",333940
"Oct 6, 2020",330263
"Oct 5, 2020",327586
"Oct 4, 2020",325329
"Oct 3, 2020",322751
"Oct 2, 2020",319908
"Oct 1, 2020",317409
"Sep 30, 2020",314861
"Sep 29, 2020",313011
"Sep 28, 2020",311364
"Sep 27, 2020",309870
"Sep 26, 2020",308104
"Sep 25, 2020",306235
"Sep 24, 2020",304323
"Sep 23, 2020",302537
"Sep 22, 2020",300897
"Sep 21, 2020",299506
"Sep 20, 2020",298156
"Sep 19, 2020",296569
"Sep 18, 2020",294932
"Sep 17, 2020",293025
"Sep 16, 2020",291442
"Sep 15, 2020",289990
"Sep 14, 2020",288761
"Sep 13, 2020",287753
"Sep 12, 2020",286297
"Sep 11, 2020",284796
"Sep 10, 2020",283180
"Sep 9, 2020",281583
"Sep 8, 2020",280153
"Sep 7, 2020",278784
"Sep 6, 2020",277634
"Sep 5, 2020",276337
"Sep 4, 2020",274644
"Sep 3, 2020",272912
"Sep 2, 2020",271515
"Sep 1, 2020",270189
"Aug 31, 2020",269214
"Aug 30, 2020",268218
"Aug 29, 2020",266853
"Aug 28, 2020",265409
"Aug 27, 2020",263949
"Aug 26, 2020",262540
"Aug 25, 2020",261174
"Aug 24, 2020",260298
"Aug 23, 2020",259345
"Aug 22, 2020",258136
"Aug 21, 2020",257065
"Aug 20, 2020",256118
"Aug 19, 2020",255278
"Aug 18, 2020",254636
"Aug 17, 2020",254235
"Aug 16, 2020",253915
"Aug 15, 2020",253438
"Aug 14, 2020",252809
"Aug 13, 2020",252235
"Aug 12, 2020",251713
"Aug 11, 2020",251237
"Aug 10, 2020",250825
"Aug 9, 2020",250566
"Aug 8, 2020",250103
"Aug 7, 2020",249756
"Aug 6, 2020",249204
"Aug 5, 2020",248803
"Aug 4, 2020",248419
"Aug 3, 2020",248229
"Aug 2, 2020",248070
"Aug 1, 2020",247832
"Jul 31, 2020",247537
"Jul 30, 2020",247158
"Jul 29, 2020",246776
"Jul 28, 2020",246488
"Jul 27, 2020",246286
"Jul 26, 2020",246118
"Jul 25, 2020",245864
"Jul 24, 2020",245590
"Jul 23, 2020",245338
"Jul 22, 2020",245032
"Jul 21, 2020",244752
"Jul 20, 2020",244624
"Jul 19, 2020",244434
"Jul 18, 2020",244216
"Jul 17, 2020",243967
"Jul 16, 2020",243736
"Jul 15, 2020",243506
"Jul 14, 2020",243344
"Jul 13, 2020",243230
"Jul 12, 2020",243061
"Jul 11, 2020",242827
"Jul 10, 2020",242639
"Jul 9, 2020",242363
"Jul 8, 2020",242149
"Jul 7, 2020",241956
"Jul 6, 2020",241819
"Jul 5, 2020",241611
"Jul 4, 2020",241419
"Jul 3, 2020",241184
"Jul 2, 2020",240961
"Jul 1, 2020",240760
"Jun 30, 2020",240578
"Jun 29, 2020",240436
"Jun 28, 2020",240310
"Jun 27, 2020",240136
"Jun 26, 2020",239961
"Jun 25, 2020",239706
"Jun 24, 2020",239410
"Jun 23, 2020",238833
"Jun 22, 2020",238720
"Jun 21, 2020",238499
"Jun 20, 2020",238275
"Jun 19, 2020",238011
"Jun 18, 2020",237760
"Jun 17, 2020",237429
"Jun 16, 2020",237101
"Jun 15, 2020",237290
"Jun 14, 2020",236989
"Jun 13, 2020",236651
"Jun 12, 2020",236305
"Jun 11, 2020",236142
"Jun 10, 2020",235763
"Jun 9, 2020",235561
"Jun 8, 2020",235278
"Jun 7, 2020",234998
"Jun 6, 2020",234801
"Jun 5, 2020",234531
"Jun 4, 2020",234013
"Jun 3, 2020",233836
"Jun 2, 2020",233515
"Jun 1, 2020",233197
"May 31, 2020",232997
"May 30, 2020",232664
"May 29, 2020",232248
"May 28, 2020",231732
"May 27, 2020",231139
"May 26, 2020",230555
"May 25, 2020",230158
"May 24, 2020",229858
"May 23, 2020",229327
"May 22, 2020",228658
"May 21, 2020",228006
"May 20, 2020",227364
"May 19, 2020",226699
"May 18, 2020",225886
"May 17, 2020",225435
"May 16, 2020",224760
"May 15, 2020",223885
"May 14, 2020",223096
"May 13, 2020",222104
"May 12, 2020",221216
"May 11, 2020",219814
"May 10, 2020",219070
"May 9, 2020",218268
"May 8, 2020",217185
"May 7, 2020",215858
"May 6, 2020",214457
"May 5, 2020",213031
"May 4, 2020",211938
"May 3, 2020",210717
"May 2, 2020",209328
"May 1, 2020",205463
"Apr 30, 2020",205463
"Apr 29, 2020",203591
"Apr 28, 2020",201505
"Apr 27, 2020",199414
"Apr 26, 2020",197675
"Apr 25, 2020",195351
"Apr 24, 2020",192994
"Apr 23, 2020",189973
"Apr 22, 2020",187327
"Apr 21, 2020",183957
"Apr 20, 2020",181228
"Apr 19, 2020",178972
"Apr 18, 2020",175925
"Apr 17, 2020",172434
"Apr 16, 2020",168941
"Apr 15, 2020",165155
"Apr 14, 2020",162488
"Apr 13, 2020",159516
"Apr 12, 2020",156363
"Apr 11, 2020",152271
"Apr 10, 2020",147577
"Apr 9, 2020",143626
"Apr 8, 2020",139422
"Apr 7, 2020",135586
"Apr 6, 2020",132547
"Apr 5, 2020",128948
"Apr 4, 2020",124632
"Apr 3, 2020",119827
"Apr 2, 2020",115242
"Apr 1, 2020",110574
"Mar 31, 2020",105792
"Mar 30, 2020",101739
"Mar 29, 2020",97689
"Mar 28, 2020",92472
"Mar 27, 2020",86498
"Mar 26, 2020",80539
"Mar 25, 2020",74386
"Mar 24, 2020",69176
"Mar 23, 2020",63927
"Mar 22, 2020",59138
"Mar 21, 2020",53578
"Mar 20, 2020",47021
"Mar 19, 2020",41035
"Mar 18, 2020",35713
"Mar 17, 2020",31506
"Mar 16, 2020",27980
"Mar 15, 2020",24747
"Mar 14, 2020",21157
"Mar 13, 2020",17660
"Mar 12, 2020",15113
"Mar 11, 2020",12462
"Mar 10, 2020",10149
"Mar 9, 2020",9172
"Mar 8, 2020",7375
"Mar 7, 2020",5883
"Mar 6, 2020",4636
"Mar 5, 2020",3858
"Mar 4, 2020",3089
"Mar 3, 2020",2502
"Mar 2, 2020",2036
"Mar 1, 2020",1701
"Feb 29, 2020",1128
"Feb 28, 2020",889
"Feb 27, 2020",655
"Feb 26, 2020",470
"Feb 25, 2020",323
"Feb 24, 2020",229
"Feb 23, 2020",157
"Feb 22, 2020",79
"Feb 21, 2020",21
"Feb 20, 2020",4
"Feb 19, 2020",3
"Feb 18, 2020",3
"Feb 17, 2020",3
"Feb 16, 2020",3
"Feb 15, 2020",3
