Lobbying firm,Spending in million U.S. dollars
"Akin, Gump et al",42.72
"Brownstein, Hyatt et al",39.54
BGR Group,29.21
Squire Patton Boggs,25.7
Holland & Knight,24.39
Cornerstone Government Affairs,23.17
Ballard Partners,18.9
K&L Gates,17.88
Capitol Counsel,17.87
Ivariant LLC,16.35
Covington & Burling,16.31
Van Scoyoc Assoc,15.68
Peck Madigan Jones,15.49
"Mehlman, Castagnetti et al",15.42
Cassidy & Assoc,14.89
Forbes Tate Partners,14.56
Alpine Group,14.25
American Continental Group,13.65
Crossroads Strategies,13.41
Williams & Jensen,13.24
