Month,Number of deaths
"Dec 17, 2020",0
"Dec 16, 2020",10
"Dec 15, 2020",15
"Dec 14, 2020",11
"Dec 13, 2020",10
"Dec 12, 2020",8
"Dec 11, 2020",7
"Dec 10, 2020",7
"Dec 9, 2020",10
"Dec 8, 2020",7
"Dec 7, 2020",6
"Dec 6, 2020",9
"Dec 5, 2020",10
"Dec 4, 2020",7
"Dec 3, 2020",11
"Dec 2, 2020",6
"Dec 1, 2020",10
"Nov 30, 2020",7
"Nov 29, 2020",11
"Nov 28, 2020",6
"Nov 27, 2020",8
"Nov 26, 2020",4
"Nov 25, 2020",8
"Nov 24, 2020",6
"Nov 23, 2020",3
"Nov 22, 2020",6
"Nov 21, 2020",5
"Nov 20, 2020",4
"Nov 19, 2020",3
"Nov 18, 2020",5
"Nov 17, 2020",2
"Nov 16, 2020",4
"Nov 15, 2020",3
"Nov 14, 2020",5
"Nov 13, 2020",1
"Nov 12, 2020",1
"Nov 11, 2020",1
"Nov 10, 2020",2
"Nov 9, 2020",4
"Nov 8, 2020",4
"Nov 7, 2020",1
"Nov 6, 2020",4
"Nov 5, 2020",3
"Nov 4, 2020",5
"Nov 3, 2020",3
"Nov 2, 2020",4
"Nov 1, 2020",1
"Oct 31, 2020",2
"Oct 30, 2020",1
"Oct 29, 2020",2
"Oct 28, 2020",3
"Oct 27, 2020",2
"Oct 26, 2020",3
"Oct 25, 2020",3
"Oct 24, 2020",3
"Oct 23, 2020",5
"Oct 22, 2020",4
"Oct 21, 2020",4
"Oct 20, 2020",3
"Oct 19, 2020",1
"Oct 18, 2020",3
"Oct 17, 2020",5
"Oct 16, 2020",2
"Oct 15, 2020",0
"Oct 14, 2020",1
"Oct 13, 2020",1
"Oct 12, 2020",3
"Oct 11, 2020",2
"Oct 10, 2020",3
"Oct 9, 2020",1
"Oct 8, 2020",2
"Oct 7, 2020",1
"Oct 6, 2020",0
"Oct 5, 2020",2
"Oct 4, 2020",3
"Oct 3, 2020",3
"Oct 2, 2020",2
"Oct 1, 2020",2
"Sep 30, 2020",0
"Sep 29, 2020",1
"Sep 28, 2020",1
"Sep 27, 2020",0
"Sep 26, 2020",1
"Sep 25, 2020",1
"Sep 24, 2020",2
"Sep 23, 2020",1
"Sep 22, 2020",2
"Sep 21, 2020",1
"Sep 20, 2020",3
"Sep 19, 2020",3
"Sep 18, 2020",0
"Sep 17, 2020",0
"Sep 16, 2020",1
"Sep 15, 2020",1
"Sep 14, 2020",0
"Sep 13, 2020",2
"Sep 12, 2020",1
"Sep 11, 2020",1
"Sep 10, 2020",0
"Sep 9, 2020",1
"Sep 8, 2020",0
"Sep 7, 2020",0
"Sep 6, 2020",1
"Sep 5, 2020",0
"Sep 4, 2020",0
"Sep 3, 2020",1
"Sep 2, 2020",0
"Sep 1, 2020",0
"Aug 31, 2020",2
"Aug 30, 2020",0
"Aug 29, 2020",0
"Aug 28, 2020",0
"Aug 27, 2020",0
"Aug 26, 2020",0
"Aug 25, 2020",1
"Aug 24, 2020",0
"Aug 23, 2020",0
"Aug 22, 2020",1
"Aug 21, 2020",1
"Aug 20, 2020",0
"Aug 19, 2020",0
"Aug 18, 2020",0
"Aug 17, 2020",0
"Aug 16, 2020",0
"Aug 15, 2020",0
"Aug 14, 2020",0
"Aug 13, 2020",0
"Aug 12, 2020",0
"Aug 11, 2020",0
"Aug 10, 2020",1
"Aug 9, 2020",2
"Aug 8, 2020",1
"Aug 7, 2020",0
"Aug 6, 2020",0
"Aug 5, 2020",1
"Aug 4, 2020",0
"Aug 3, 2020",0
"Aug 2, 2020",0
"Aug 1, 2020",0
"Jul 31, 2020",1
"Jul 30, 2020",0
"Jul 29, 2020",1
"Jul 28, 2020",1
"Jul 27, 2020",0
"Jul 26, 2020",0
"Jul 25, 2020",0
"Jul 24, 2020",0
"Jul 23, 2020",0
"Jul 22, 2020",2
"Jul 21, 2020",0
"Jul 20, 2020",0
"Jul 19, 2020",0
"Jul 18, 2020",0
"Jul 17, 2020",1
"Jul 16, 2020",0
"Jul 15, 2020",0
"Jul 14, 2020",0
"Jul 13, 2020",0
"Jul 12, 2020",0
"Jul 11, 2020",0
"Jul 10, 2020",1
"Jul 09, 2020",0
"Jul 08, 2020",0
"Jul 07, 2020",0
"Jul 06, 2020",2
"Jul 05, 2020",0
"Jul 04, 2020",1
"Jul 03, 2020",0
"Jul 02, 2020",0
"Jul 01, 2020",0
"Jun 30, 2020",0
"Jun 29, 2020",0
"Jun 28, 2020",1
"Jun 27, 2020",0
"Jun 26, 2020",0
"Jun 25, 2020",1
"Jun 24, 2020",0
"Jun 23, 2020",1
"Jun 22, 2020",0
"Jun 21, 2020",0
"Jun 20, 2020",1
"Jun 19, 2020",1
"Jun 18, 2020",1
"Jun 17, 2020",1
"Jun 16, 2020",1
"Jun 15, 2020",0
"Jun 14, 2020",1
"Jun 13, 2020",0
"Jun 12, 2020",3
"Jun 11, 2020",1
"Jun 10, 2020",0
"Jun 09, 2020",0
"Jun 08, 2020",0
"Jun 07, 2020",2
"Jun 06, 2020",3
"Jun 05, 2020",2
"Jun 04, 2020",4
"Jun 03, 2020",1
"Jun 02, 2020",1
"Jun 01, 2020",3
"May 31, 2020",2
"May 30, 2020",4
"May 29, 2020",1
"May 28, 2020",0
"May 27, 2020",1
"May 26, 2020",3
"May 25, 2020",0
"May 24, 2020",1
"May 23, 2020",1
"May 22, 2020",1
"May 21, 2020",0
"May 20, 2020",5
"May 19, 2020",2
"May 18, 2020",3
"May 17, 2020",3
"May 16, 2020",3
"May 15, 2020",6
"May 14, 2020",0
"May 13, 2020",5
"May 12, 2020",7
"May 11, 2020",4
"May 10, 2020",5
"May 09, 2020",3
"May 08, 2020",4
"May 07, 2020",6
"May 06, 2020",6
"May 05, 2020",3
"May 04, 2020",7
"May 03, 2020",9
"May 02, 2020",8
"May 01, 2020",11
"Apr 30, 2020",9
"Apr 29, 2020",9
"Apr 28, 2020",10
"Apr 27, 2020",9
"Apr 26, 2020",5
"Apr 25, 2020",5
"Apr 24, 2020",6
"Apr 23, 2020",10
"Apr 22, 2020",14
"Apr 21, 2020",12
"Apr 20, 2020",7
"Apr 19, 2020",6
"Apr 18, 2020",10
"Apr 17, 2020",9
"Apr 16, 2020",12
"Apr 15, 2020",10
"Apr 14, 2020",12
"Apr 13, 2020",16
"Apr 12, 2020",11
"Apr 11, 2020",11
