Month,Index number of sales per week
Jul 20,127.3
Jun 20,110.1
May 20,78.9
Apr 20,77.6
Mar 20,129.5
Feb 20,126.7
Jan 20,116.7
Dec 19,128.6
Nov 19,139.3
Oct 19,132.0
Sep 19,137.2
Aug 19,141.1
Jul 19,141.3
Jun 19,143.7
Msy 19,141.6
Apr 19,137.5
Mar 19,138.1
Feb 19,145.7
Jan 19,142.9
Dec 18,128.7
Nov 18,135.2
Oct 18,135.8
Sep 18,129.7
Aug 18,129.0
Jul 18,126.4
Jun 18,124.3
May 18,123.7
Apr 18,119.2
Mar 18,119.0
Feb 18,116.8
Jan 18,114.2
Dec 17,113.6
Nov 17,112.4
Oct 17,108.8
Sep 17,109.3
Aug 17,104.5
Jul 17,104.9
Jun 17,105.8
May 17,104.7
Apr 17,111.2
Mar 17,112.0
Feb 17,106.8
Jan 17,105.0
Dec 16,101.9
Nov 16,102.2
Oct 16,103.3
Sep 16,100.2
Aug 16,105.5
Jul 16,103.9
Jun 16,98.4
May 16,98.5
Apr 16,98.3
Mar 16,95.9
Feb 16,96.0
Jan 16,96.9
