state of Mexico,Number of patients
Mexico City,150737
State of Mexico,57564
Puebla,1349
Hidalgo,1180
Morelos,832
Jalisco,616
Querétaro,593
Veracruz,511
Michoacán,497
Guanajuato,441
Oaxaca,374
Tlaxcala,348
Guerrero,287
San Luis Potosí,186
Aguascalientes,139
Nuevo León,130
Quintana Roo,130
Zacatecas,95
Chiapas,72
Baja California,66
Chihuahua,63
Tamaulipas,57
Nayarit,55
Tabasco,54
Coahuila,47
Durango,43
Sonora,43
Yucatán,42
Baja California Sur,36
Sinaloa,35
Colima,33
Campeche,16
From abroad,60
Not informed,24
