Month,Change in traffic
Jul 1,-20.6%
Jun 29,-26%
Jun 27,-31.1%
Jun 25,-24.9%
Jun 22,-31.4%
Jun 19,-32.2%
Jun 16,-30.8%
Jun 13,-37.8%
Jun 10,-36.5%
May 24,-63%
May 21,-62%
May 19,-64.6%
May 16,-62.7%
May 12,-67.1%
May 10,-69.7%
May 6,-69%
May 3,-70.3%
Apr 22,-72.2%
Apr 20,-71.1%
Apr 18,-79.4%
Apr 16,-72.1%
Apr 14,-76.3%
Apr 12,-72.3%
Apr 10,-68.7%
Apr 8,-72.5%
Apr 6,-68.3%
Apr 5,-75.3%
Apr 3,-72.9%
Apr 1,-73.2%
Mar 30,-70.9%
Mar 28,-62.1%
Mar 27,-21.4%
Mar 26,-28%
Mar 25,-22.4%
Mar 23,-24.1%
Mar 22,-28.2%
Mar 21,-28.4%
Mar 20,-19.3%
Mar 19,-20.3%
Mar 18,-11%
Mar 17,-0.2%
Mar 16,-0.8%
Mar 15,-2.3%
Mar 14,-1%
Mar 13,-0.9%
Mar 12,-8.2%
Mar 11,-6.5%
