Month,Index**
Nov 20,221.5
Oct 20,170.7
Sep 20,144.9
Aug 20,148.2
Jul 20,156.5
Jun 20,162.6
May 20,159.9
Apr 20,125.6
Mar 20,116.5
Feb 20,105.2
Jan 20,109.9
Dec 19,163.3
Nov 19,145.2
Oct 19,114.8
Sep 19,105.4
Aug 19,106.8
Jul 19,113.9
May 19,111.2
Apr 19,105.1
Mar 19,108.5
Feb 19,97.1
Jan 19,95.2
Dec 18,137.2
Nov 18,141.1
Oct 18,100.9
Sep 18,93.5
Aug 18,92.0
Jul 18,94.7
Jun 18,95.1
May 18,98.2
Apr 18,90.0
Mar 18,88.8
Feb 18,83.8
Jan 18,81.0
Dec 17,118.8
Nov 17,123.9
Oct 17,90.7
Sep 17,85.2
Aug 17,80.9
Jul 17,81.6
Jun 17,84.9
May 17,82.6
Apr 17,81.9
Mar 17,77.2
Feb 17,73.3
Jan 17,72.2
Dec 16,115.9
Nov 16,114.5
Oct 16,83.0
Sep 16,75.1
Aug 16,67.0
Jul 16,66.6
Jun 16,66.8
May 16,67.4
Apr 16,63.6
Mar 16,60.6
Feb 16,57.9
Jan 16,62.7
Dec 15,81.6
Nov 15,84.4
Oct 15,60.0
Sep 15,55.6
Aug 15,51.2
Jul 15,56.9
Jun 15,56.5
May 15,55.3
Apr 15,57.5
Mar 15,53.4
Feb 15,51.3
Jan 15,54.8
Dec 14,79.1
Nov 14,75.1
Oct 14,53.8
Sep 14,47.5
Aug 14,47.9
Jul 14,48.0
Jun 14,48.3
May 14,50.4
Apr 14,48.4
Mar 14,46.8
Feb 14,46.3
Jan 14,42.9
