Response,Share of GDP
Real estate and rental and leasing,12.98%
Health care and social assistance,10.11%
Manufacturing,9.42%
Public administration,8.85%
Construction,7.85%
Transportation and warehousing,6.78%
Educational services,5.83%
Retail trade,5.73%
Finance and insurance,5.53%
Wholesale trade,4.48%
Utilities,3.6%
"Professional, scientific and technical services",3.55%
"Agriculture, forestry, fishing and hunting",3.51%
"Mining, quarrying, and oil and gas extraction",2.47%
Information and cultural industries,2.22%
Accommodation and food services,2.05%
Other services (except public administration),1.91%
"Administrative and support, waste management and remediation services",1.78%
"Arts, entertainment and recreation",0.81%
Management of companies and enterprises,0.55%
