baseball team,Franchise value in million U.S. dollars
New York Yankees,5000
Los Angeles Dodgers,3400
Boston Red Sox,3300
Chicago Cubs,3200
San Francisco Giants,3100
New York Mets,2400
St. Louis Cardinals,2200
Philadelphia Phillies,2000
Los Angeles Angels,1975
Washington Nationals,1900
Houston Astros,1850
Atlanta Braves,1800
Texas Rangers,1750
Chicago White Sox,1650
Toronto Blue Jays,1625
Seattle Mariners,1600
San Diego Padres,1450
Baltimore Orioles,1400
Minnesota Twins,1300
Arizona Diamondbacks,1290
Colorado Rockies,1275
Pittsburgh Pirates,1260
Detroit Tigers,1250
Milwaukee Brewers,1200
Cleveland Indians,1150
Oakland Athletics,1100
Cincinnati Reds,1075
Tampa Bay Rays,1050
Kansas City Royals,1025
Miami Marlins,980
