Year,GDP per capita in U.S. dollars
2025*,21016.59
2024*,20153.53
2023*,19325.91
2022*,18532.27
2021*,17471.58
2020*,16082.47
2019,18139.48
2018,17758.08
2017,17423.25
2016,16947.63
2015,16589.45
2014,16572.31
2013,16556.1
2012,16371.95
2011,16599.01
2010,16203.26
2009,16036.4
2008,17254.23
2007,16925.61
2006,15334.01
2005,13939.67
2004,12612.21
2003,11788.65
2002,11442.56
2001,11284.37
2000,11337.03
1999,11039.1
1998,10573.11
1997,9412.37
1996,8938.57
1995,8414.12
1994,8194.38
1993,7886.78
1992,7464.87
1991,7777.87
1990,7772.17
1989,7776.71
1988,7052.01
1987,6653.72
1986,6062.78
1985,5539.56
