Month,Number of people
Mar 6,1
Mar 7,2
Mar 8,2
Mar 9,2
Mar 10,0
Mar 11,3
Mar 12,11
Mar 13,11
Mar 14,12
Mar 15,17
Mar 16,11
Mar 17,25
Mar 18,8
Mar 19,18
Mar 20,14
Mar 21,41
Mar 22,7
Mar 23,19
Mar 24,12
Mar 25,10
Mar 26,43
Mar 27,23
Mar 28,22
Mar 29,22
Mar 30,27
Mar 31,37
Apr 1,26
Apr 2,24
Apr 3,21
Apr 4,14
Apr 5,49
Apr 6,47
Apr 7,101
Apr 8,19
Apr 9,14
Apr 10,13
Apr 11,14
Apr 12,27
Apr 13,66
Apr 14,28
Apr 15,114
Apr 16,72
Apr 17,40
Apr 18,72
Apr 19,12
Apr 20,26
Apr 21,45
Apr 22,81
Apr 23,35
Apr 24,13
Apr 25,6
Apr 26,2
Apr 27,3
Apr 28,7
Apr 29,5
Apr 30,7
May 1,4
May 2,1
May 3,5
May 4,8
May 5,8
May 6,16
May 7,10
May 8,0
May 9,2
May 10,0
May 11,8
May 12,4
May 13,8
May 14,3
May 15,13
May 16,1
May 17,1
May 18,0
May 19,1
May 20,6
May 21,1
May 22,1
May 23,5
May 24,2
May 25,2
May 26,2
May 27,5
May 28,0
May 29,1
May 30,0
May 31,1
Jun 1,0
Jun 2,3
Jun 3,1
Jun 4,0
Jun 5,2
Jun 6,0
Jun 7,2
Jun 8,1
Jun 9,2
Jun 10,8
Jun 11,1
Jun 12,3
Jun 13,3
Jun 14,4
Jun 15,0
Jun 16,9
Jun 17,1
Jun 18,15
Jun 19,10
Jun 20,1
Jun 21,1
Jun 22,1
Jun 23,18
Jun 24,23
Jun 25,13
Jun 26,14
Jun 27,7
Jun 28,1
Jun 29,2
Jun 30,20
Jul 1,13
Jul 2,20
Jul 3,29
Jul 4,15
Jul 5,1
Jul 8,53
Jul 9,19
Jul 10,23
Jul 11,8
Jul 12,1
Jul 13,6
Jul 14,19
Jul 15,24
Jul 16,14
Jul 17,11
Jul 18,3
Jul 19,1
Jul 20,41
Jul 21,37
Jul 22,31
Jul 23,29
Jul 24,23
Jul 25,38
Jul 26,2
Jul 31,45
Aug 1,7
Aug 2,10
Aug 5,63
Aug 6,43
Aug 7,43
Aug 8,43
Aug 9,30
Aug 12,75
Aug 13,49
Aug 14,62
Aug 15,54
Aug 16,47
Aug 17,5
Aug 18,15
Aug 19,100
Aug 20,80
Aug 21,123
Aug 22,91
Aug 23,40
Aug 29,24
Aug 30,99
Sep 3,137
Sep 4,226
Sep 5,88
Sep 6,22
Sep 10,186
Sep 15,92
Sep 20,79
Sep 25,552
Sep 30,797
Oct 1,679
Oct 5,320
Oct 10,1054
Oct 11,504
Oct 15,2075
Oct 16,1968
Oct 17,1567
Oct 18,860
Oct 19,705
Oct 24,3042
Oct 29,3363
Oct 30,2573
Oct 31,2282
Nov 01,1883
Nov 02,1727
Nov 03,3216
Nov 04,1962
Nov 05,2354
Nov 06,2579
Nov 07,1828
Nov 08,577
Nov 09,1051
Nov 10,2058
Nov 11,2591
Nov 13,1771
Nov 15,509
Nov 17,1311
Nov 18,1665
Nov 19,1818
