Response,Share of respondents
Recruit passive job candidates who might not otherwise apply or be contacted by the organization,82%
Increase employer brand and recognition,77%
Target job candidates with a very specific set of skills,71%
Allow potential job candidates to easily contact the organization about employment,64%
"Target a specific job level to recruit or contact (e.g. entry level, managers, executives)",61%
Less expensive than other methods of recruiting job candidates,55%
Identify potential job candidates in other geographic regions,53%
Target a specific geographic region in which to recruit job candidates,51%
More qualified job candidates relative to the amount of time and effort invested,44%
Effectively disseminate job- and organization-related information,43%
Create an online community focused on organization,36%
Large quantity of job candidates relative to the amount of time and effort invested,34%
"Target traditionally underrepresented people groups (e.g. women, minorities, veterans, people with disabilities)",33%
Other,1%
