Month,Market share
Oct,97.15%
Sep 20,96.9%
Aug 20,96.52%
Jul 20,96.74%
Jun 20,96.84%
May 20,97%
Apr 20,97.01%
Mar 20,97.06%
Feb 20,96.94%
Jan 20,96.88%
Dec 19,96.81%
Nov 19,96.94%
Oct 19,97.08%
Sep 19,96.63%
Aug 19,96.26%
Jul 19,96.31%
Jun 19,96.41%
May 19,96.43%
Apr 19,96.3%
Mar 19,96.35%
Feb 19,96.21%
Jan 19,96.24%
Dec 18,96.09%
Nov 18,95.38%
Oct 18,96.09%
Sep 18,95.74%
Aug 18,95.38%
Jul 18,95.69%
Jun 18,95.61%
May 18,95.52%
Apr 18,95.59%
Mar 18,95.93%
Feb 18,96.07%
Jan 18,96.23%
Dec 17,96.89%
Nov 17,96.98%
Oct 17,96.24%
Sept 17,95.74%
Aug 17,95.49%
Jul 17,95.46%
Jun 17,95.53%
May 17,95.82%
Apr 17,95.74%
Mar 17,95.59%
Feb 17,95.76%
Jan 17,95.76%
Dec 16,95.81%
Nov 16,95.68%
Oct 16,95.28%
Sep 16,95.61%
Aug 16,94.8%
Jul 16,94.48%
Jun 16,94.56%
May 16,94.47%
Apr 16,94.18%
Mar 16,94.28%
Feb 16,93.86%
Jan 16,93.71%
Dec 15,94.16%
Nov 15,94.22%
Oct 15,93.55%
Sep 15,93.34%
Aug 15,93.35%
Jul 15,92.88%
Jun 15,93.15%
May 15,92.35%
Apr 15,92.05%
