Response,Share of respondents
I know I should exercise more but I find it boring/hard work,59%
"I sometimes tell myself that I am exercising by doing household chores e.g. hoovering, cleaning",55%
I find it more difficult to exercise in the winter/darker months,53%
I don't always enjoy exercising but I make sure I do it for the health benefits,47%
I'm too tired to exercise,43%
I don't know how much exercise I should be doing,42%
I struggle to find the time to exercise,41%
"I'm not too bothered about exercising, as look as I look/feel good",29%
I sometimes exercise purely so I can eat more/because I've overeaten,16%
"I really enjoy exercising, it's an important part of my routine",39%
