Household composition,Percentage of respondents
"One adult, retired mainly dependent on state pensions*",28%
"One adult, other retired",30%
"One adult, non-retired",30%
"One adult, one child",35%
"One adult, two or more children",35%
"Two adults, retired mainly dependent on state pensions*",53%
"Two adults, other retired",55%
"Two adults, non-retired",56%
"Two adults, one child",56%
"Two adults, two children",64%
"Two adults, three children",57%
"Two adults, four or more children",54%
Three adults,56%
"Three adults, one or more children",65%
All other households without children,61%
All other households with children,45%
