Response,Share of respondents
Air pollution,58%
"Water pollution (seas, rivers, lakes and underground sources)",52%
The impact on our health of chemicals used in everyday products,51%
Depletion of natural resources,47%
The growing amount of waste,41%
"Agricultural pollution (use of pesticides. fertilizers, etc.)",35%
Shortage of drinking water,33%
"Loss or extinction of species and their habitats and of natural ecosystems (forests, fertile soils)",29%
Our consumption habits,28%
"Urban problems (traffic jams, pollution, lack of green spaces, etc.)",19%
