Postsecondary Program Enrollment Category,Number of interntional students
"Business, management and public administration",83817
"Architecture, engineering and related technologies",49785
Humanities,31212
Social and behavioural sciences and law,30840
"Mathematics, computer and information sciences",27612
Physical and life sciences and technologies,23118
Health and related fields,14175
Visual and performing arts and communications technologies,8757
"Agriculture, natural resources and conservation",5529
Other instructional programs,4500
Personal improvement and leisure,4332
Education,3219
"Personal, protective and transportation services",2814
