Country,Number of cases
Russia,3260138
France,2655728
United Kingdom,2654779
Italy,2155446
Spain,1958844
Germany,1775513
Turkey,1417697
Poland,1322947
Ukraine,1074093
Netherlands,820193
Czechia,746714
Belgium,650794
Romania,640429
Sweden,469748
Switzerland,459660
Portugal,427254
Austria,364574
Serbia,343870
Hungary,328851
Georgia,229763
Azerbaijan,220265
Croatia,212958
Bulgaria,203051
Belarus,199962
Slovakia,188099
Denmark,168711
Armenia,160220
Lithuania,147997
Moldova,145873
Greece,140099
Slovenia,125858
Bosnia and Herzegovina,112645
Ireland,101887
North Macedonia,84024
Albania,59438
Kosovo,51965
Norway,50715
Montenegro,49195
Luxembourg,46919
Latvia,42497
Finland,36919
Estonia,29521
Cyprus,23974
Malta,13082
Andorra,8192
Iceland,5754
Jersey,2821
San Marino,2493
Gibraltar,2406
Liechtenstein,2222
Monaco,907
Faroe Islands,620
Isle of Man,380
Guernsey,300
Vatican City,26
