State,Consumption in thousand gallons
California,155591
Florida,72669
New York,65759
Texas,60291
Illinois,36981
New Jersey,33015
North Carolina,30159
Massachusetts,28859
Pennsylvania,27721
Virginia,26950
Michigan,25903
Washington,24805
Ohio,23211
Colorado,18880
Arizona,17739
Georgia,16622
Oregon,15746
Minnesota,15683
Maryland,14943
Missouri,14903
Wisconsin,14651
Tennessee,13964
Connecticut,13942
Idaho,13218
Indiana,12481
Nevada,11707
Louisiana,9886
South Carolina,8182
Alabama,8133
New Hampshire,7583
Kentucky,6155
Hawaii,5373
Oklahoma,4855
District of Columbia,4708
Iowa,4627
Delaware,4502
Arkansas,4491
New Mexico,4174
Rhode Island,4006
Maine,3941
Utah,3788
Montana,3516
Mississippi,3407
Vermont,3244
Kansas,2649
Nebraska,2572
Alaska,2448
North Dakota,1610
West Virginia,1303
South Dakota,1235
Wyoming,1161
