Month,Index number of sales per week
Oct 20,108.6
Sep 20,110.9
Aug 20,109.3
Jul 20,105.8
Jun 20,104.7
May 20,97.1
Apr 20,60.5
Mar 20,94.6
Feb 20,95.0
Jan 20,91.0
Dec 19,92.0
Nov 19,90.5
Oct 19,82.8
Sep 19,87.6
Aug 19,90.1
Jul 19,95.0
Jun 19,92.2
May 19,90.8
Apr 19,87.4
Mar 19,92.3
Feb 19,93.1
Jan 19,97.5
Dec 18,101.3
Nov 18,103.1
Oct 18,104.3
Sep 18,102.9
Aug 18,100.9
Jul 18,98.0
Jun 18,100.3
May 18,104.2
Apr 18,102.9
Mar 18,99.6
Feb 18,93.8
Jan 18,87.6
Dec 17,86.9
Nov 17,86.8
Oct 17,90.8
Sep 17,89.1
Aug 17,87.8
Jul 17,91.6
Jun 17,89.2
May 17,89.5
Apr 17,98.5
Mar 17,91.9
Feb 17,94.8
Jan 17,93.0
Dec16,93.8
Nov 16,99.3
Oct 16,95.4
Sep 16,86.8
Aug 16,87.6
Jul 16,99.9
Jun 16,91.5
May 16,92.8
Apr 16,89.4
Mar 16,86.7
Feb 16,95.3
Jan 16,93.5
