Month,Units sold
Dec 19,2327
Nov 19,2505
Oct 19,1992
Sep 19,7600
Aug 19,1509
Jul 19,2772
Jun 19,3731
May 19,2621
Apr 19,2033
Mar 19,8791
Feb 19,1543
Jan 19,2724
Dec 18,2018
Nov 18,2522
Oct 18,2366
Sep 18,6704
Aug 18,1589
Jul 18,2522
Jun 18,3628
May 18,2408
Apr 18,1673
Mar 18,10085
Feb 18,1226
Jan 18,2861
Dec 17,1569
Nov 17,2091
Oct 17,1655
Sep 17,7530
Aug 17,1209
Jul 17,2477
Jun 17,3255
May 17,2447
Apr 17,1690
Mar 17,11178
Feb 17,1164
Jan 17,2827
Dec 16,2111
Nov 16,2521
Oct 16,2213
Sep 16,9422
Aug 16,1269
Jul 16,2692
