Response,Percentage of facilities
Outpatient treatment,82%
Regular outpatient treatment,76%
Intensive outpatient treatment,46%
Outpatient methadone/buprenorphine maintenace or Vivitrol treatment,33%
Outpatient day treatment/partial hospitalization,14%
Outpatient detoxification,11%
Residential (non-hospital) treatment,24%
Long-term residential treatment (more than 30 days),19%
Short-term residential treatment (30 days or fewer),15%
Residential detoxification,9%
Hospital inpatient treatment,6%
Inpatient detoxification,5%
Inpatient treatment,4%
