Year,Life expectancy in years
2020,81.15
2015,80.87
2010,79.69
2005,78.41
2000,77.17
1995,76.24
1990,75.14
1985,74.19
1980,73.01
1975,72.21
1970,71.71
1965,71.04
1960,70.61
1955,69.41
1950,67.66
1945,64.01
1940,62.34
1935,60.97
1930,59.46
1925,58.31
1920,48.89
1915,52.02
1910,52.07
1905,49.48
1900,46.81
1895,45.75
1890,45.78
1885,45.32
1880,43.89
1875,42.39
1870,41.53
1865,41.18
1860,41.8
1855,40.66
1850,39.59
1845,41.8
1840,40.55
1835,40.85
1830,41.52
1825,40.46
1820,40.53
1815,41.23
1810,40.74
1805,39.41
1800,39.37
1795,37.65
1790,38.7
1785,36.69
1780,38.18
1775,38.8
1770,35.33
1765,38.88
