hotels,Cost per night (in U.S. dollars)
"Royal Penthouse Suite,President Wilson Hotel, Geneva","65,000$"
"Ty Warner Penthouse,Four Seasons Hotel, New York","35,000$"
"Presidential Suite,Hotel Cala di Volpe, Sardinia","34,000$"
"Villa La Cupola Suite,Westin Excelsior, Rome","31,000$"
"Presidential Suite,Ritz-Carlton, Tokyo","25,000$"
"The Bridge Suite,The Atlantis, Bahamas","22,000$"
"Imperial Suite,Park Hyatt, Vendôme, Paris","20,000$"
"Royal Suite,Burj Al Arab, Dubai","19,600$"
"Royal Armleder Suite,Le Richemond, Geneva","18,900$"
"Ritz-Carlton Suite,Ritz-Carlton Moscow","16,500$"
