Year,Cumulative number of deaths
1/3/21,30648
1/2/21,30476
1/1/21,30208
12/31/20,30040
12/30/20,29905
12/29/20,29756
12/28/20,29629
12/27/20,29511
12/26/20,29396
12/25/20,29270
12/24/20,29149
12/23/20,29016
12/22/20,28850
12/21/20,28709
12/20/20,28598
12/19/20,28474
12/18/20,28344
12/17/20,28222
12/16/20,28100
12/15/20,28002
12/14/20,27870
12/13/20,27785
12/12/20,27675
12/11/20,27587
12/10/20,27498
12/9/20,27404
12/8/20,27307
12/7/20,27232
12/6/20,27149
12/5/20,27089
12/4/20,27017
12/3/20,26955
12/2/20,26889
12/1/20,26816
11/30/20,26747
11/29/20,26690
11/28/20,26632
11/27/20,26588
11/26/20,26549
11/25/20,26482
11/24/20,26441
11/23/20,26390
11/22/20,26357
11/21/20,26326
11/20/20,26292
11/19/20,26257
11/18/20,26225
11/17/20,26189
11/16/20,26159
11/15/20,26133
11/14/20,26103
11/13/20,26079
11/12/20,26055
11/11/20,26026
11/10/20,26005
11/9/20,25973
11/8/20,25947
11/7/20,25928
11/6/20,25910
11/5/20,25892
11/4/20,25868
11/3/20,25853
11/2/20,25838
11/1/20,25824
10/31/20,25807
10/30/20,25804
10/29/20,25792
10/28/20,25773
10/27/20,25758
10/26/20,25742
10/25/20,25730
10/24/20,25718
10/23/20,25705
10/22/20,25694
10/21/20,25679
10/20/20,25672
10/19/20,25659
10/18/20,25644
10/17/20,25637
10/16/20,25628
10/15/20,25618
10/14/20,25605
10/13/20,25598
10/12/20,25587
10/11/20,25574
10/10/20,25569
10/9/20,25561
10/8/20,25555
10/7/20,25545
10/6/20,25536
10/5/20,25527
10/4/20,25519
10/3/20,25505
10/2/20,25497
10/1/20,25490
9/30/20,25479
9/29/20,25470
9/28/20,25468
9/27/20,25456
9/26/20,25450
9/25/20,25446
9/24/20,25439
9/23/20,25437
9/22/20,25432
9/21/20,25428
9/20/20,25427
9/19/20,25425
9/18/20,25423
9/17/20,25413
9/16/20,25410
9/15/20,25405
9/14/20,25394
9/13/20,25390
9/12/20,25384
9/11/20,25382
9/10/20,25377
9/9/20,25370
9/8/20,25367
9/7/20,25361
9/6/20,25359
9/5/20,25350
9/4/20,25348
9/3/20,25343
9/2/20,25336
9/1/20,25331
8/31/20,25328
8/30/20,25327
8/29/20,25319
8/28/20,25312
8/27/20,25309
8/26/20,25305
8/25/20,25297
8/24/20,25295
8/23/20,25288
8/22/20,25282
8/21/20,25278
8/20/20,25275
8/19/20,25270
8/18/20,25264
8/17/20,25256
8/16/20,25250
8/15/20,25244
8/14/20,25232
8/13/20,25228
8/12/20,25218
8/11/20,25211
8/10/20,25204
8/9/20,25202
8/8/20,25195
8/7/20,25190
8/6/20,25185
8/5/20,25179
8/4/20,25175
8/3/20,25172
8/2/20,25170
8/1/20,25164
7/31/20,25150
7/30/20,25145
7/29/20,25132
7/28/20,25126
7/27/20,25117
7/26/20,25106
7/25/20,25103
7/24/20,25090
7/23/20,25081
7/22/20,25068
7/21/20,25058
7/20/20,25056
7/19/20,25048
7/18/20,25035
7/17/20,25024
7/16/20,25014
7/15/20,25003
7/14/20,24994
7/13/20,24989
7/12/20,24979
7/11/20,24974
7/10/20,24968
7/9/20,24959
7/8/20,24944
7/7/20,24924
7/6/20,24913
7/5/20,24904
7/4/20,24896
7/3/20,24885
7/2/20,24877
7/1/20,24866
6/30/20,24855
6/29/20,24842
6/28/20,24835
6/27/20,24830
6/26/20,24814
6/25/20,24800
6/24/20,24782
6/23/20,24766
6/22/20,24739
6/21/20,24725
6/20/20,24710
6/19/20,24686
6/18/20,24661
6/17/20,24629
6/16/20,24608
6/15/20,24579
6/14/20,24551
6/13/20,24527
6/12/20,24495
6/11/20,24442
6/10/20,24404
6/9/20,24348
6/8/20,24299
6/7/20,24259
6/6/20,24212
6/5/20,24175
6/4/20,24133
6/3/20,24079
6/2/20,24023
6/1/20,23959
5/31/20,23905
5/30/20,23848
5/29/20,23780
5/28/20,23722
5/27/20,23643
5/26/20,23564
5/25/20,23488
5/24/20,23391
5/23/20,23282
5/22/20,23195
5/21/20,23083
5/20/20,22976
5/19/20,22843
5/18/20,22729
5/17/20,22619
5/16/20,22478
5/15/20,22304
5/14/20,22170
5/13/20,22013
5/12/20,21845
5/11/20,21640
5/10/20,21478
5/9/20,21271
5/8/20,21045
5/7/20,20828
5/6/20,19877
5/5/20,19645
5/4/20,19415
5/3/20,19189
5/2/20,18909
5/1/20,18610
4/30/20,18321
4/29/20,18015
4/28/20,17638
4/27/20,17303
4/26/20,16966
4/25/20,16599
4/24/20,16162
4/23/20,15740
4/22/20,15302
4/21/20,14828
4/20/20,14347
4/19/20,13869
4/18/20,13362
4/17/20,12822
4/16/20,12192
4/15/20,11586
4/14/20,10834
4/13/20,10056
4/12/20,9385
4/11/20,8627
4/10/20,7844
4/9/20,7067
4/8/20,6268
4/7/20,5489
4/6/20,4758
4/5/20,4159
4/4/20,3565
4/3/20,2935
4/2/20,2373
4/1/20,1941
3/31/20,1550
3/30/20,1218
3/29/20,965
3/28/20,728
3/27/20,519
3/26/20,385
3/25/20,285
3/24/20,210
3/23/20,114
3/22/20,114
3/21/20,44
3/20/20,35
3/19/20,12
3/18/20,12
3/17/20,7
3/16/20,7
3/15/20,3
