State,Number of firearms stolen or lost
Florida,1395
Texas,1042
North Carolina,575
Alabama,505
Georgia,500
Ohio,454
Alaska,422
Michigan,410
Virginia,401
Arkansas,399
Illinois,366
South Carolina,364
Washington,364
Louisiana,360
Missouri,324
Pennsylvania,315
Oregon,310
Mississippi,302
Arizona,271
Colorado,263
Tennessee,247
Oklahoma,228
Wisconsin,194
California,191
Maryland,186
Utah,173
Massachusetts,171
South Dakota,168
Kansas,167
Indiana,166
Kentucky,154
Nevada,153
Iowa,147
Connecticut,137
West Virginia,127
New Mexico,101
Montana,98
Idaho,93
Vermont,93
Minnesota,89
Maine,82
New York,77
North Dakota,55
Nebraska,53
New Hampshire,48
Wyoming,35
Delaware,19
New Jersey,10
Hawaii,6
Rhode Island,2
