Country,Number of recovery cases
Russia,796498
Turkey,240792
Germany,213725
Italy,206554
Spain,150376
France,86271
Belarus,69887
Ukraine,57051
Poland,44785
Portugal,41556
Armenia,37264
Romania,37056
Switzerland,34800
Azerbaijan,33364
Moldova,24156
Ireland,23364
Austria,22594
Belgium,18360
Czechia,17190
Denmark,15252
Bosnia-Herzegovina,12733
Bulgaria,11044
North Macedonia,10722
Norway,9348
Kosovo,8788
Finland,7200
Luxembourg,7140
Croatia,6809
Albania,4791
Hungary,3759
Montenegro,3606
Slovenia,2236
Slovakia,2225
Estonia,2076
Iceland,1964
Malta,1864
Lithuania,1816
United Kingdom,1569
Greece,1347
Georgia,1196
Latvia,1163
Cyprus,935
Andorra,893
Netherlands,829
San Marino,658
Monaco,116
Liechtenstein,96
Vatican City,12
